job_vacancy,experience,location,college,skill1,skill2,skill3,skill4,skill5,level1,level2,level3,level4,level5,employed
61,20,66,2,5,56,63,52,65,1,2,2,0,1,1
37,4,19,39,7,20,54,41,71,5,3,3,3,4,2
24,0,87,18,82,38,35,49,80,3,3,2,3,1,2
6,20,93,99,71,61,7,65,19,5,4,3,0,1,2
81,26,52,94,81,94,35,25,58,3,1,2,5,0,1
37,34,83,43,2,99,90,1,86,0,1,1,5,2,1
13,21,67,64,55,71,40,22,47,0,4,4,4,5,2
13,39,40,64,62,60,14,3,66,1,5,0,3,2,1
66,18,30,62,76,70,98,61,95,5,0,1,3,3,1
68,17,99,50,17,94,65,31,63,5,2,2,1,0,1
15,17,45,78,42,56,16,70,50,4,2,1,1,5,1
49,38,11,57,26,48,82,92,10,0,4,1,0,5,2
64,32,88,89,13,92,25,15,65,2,1,2,1,2,1
97,13,90,89,6,6,52,18,48,4,2,2,5,4,2
97,40,89,49,65,37,74,48,55,2,2,1,3,1,2
40,4,42,91,83,49,71,63,38,4,0,5,2,0,2
0,36,69,95,92,85,98,76,56,1,3,5,0,4,2
66,7,35,72,27,74,46,4,39,1,0,2,4,2,2
23,23,49,16,63,80,81,71,56,0,4,2,4,5,1
79,0,93,98,61,30,67,2,22,4,0,4,1,5,1
72,14,63,46,74,32,15,77,35,1,4,2,1,4,2
24,7,26,70,61,91,53,66,46,3,4,3,0,2,2
2,8,10,77,58,11,94,76,43,2,1,1,3,3,2
10,23,32,92,96,55,74,66,27,3,5,0,5,5,1
28,4,99,78,86,20,73,69,50,3,0,4,5,3,2
44,37,91,94,59,36,71,43,79,4,2,0,4,4,2
42,21,78,37,67,92,84,50,16,5,1,3,2,2,2
92,22,14,92,66,0,92,86,77,2,5,0,4,0,1
70,7,67,40,31,81,44,84,26,0,2,3,0,2,2
18,32,41,67,14,80,86,18,42,1,0,2,5,0,1
17,10,31,6,49,30,42,45,51,2,2,0,2,5,2
9,12,4,30,90,1,37,22,53,5,3,1,3,1,1
58,26,88,73,71,12,63,69,71,3,4,2,2,0,1
37,11,9,61,19,18,61,68,63,4,1,5,3,3,2
91,20,58,6,57,15,78,47,98,2,3,0,5,2,1
98,38,39,31,45,25,29,44,19,1,1,1,5,5,2
72,13,92,43,33,57,82,81,5,4,4,4,1,3,1
82,33,75,55,18,31,57,60,31,1,4,3,1,3,2
38,32,58,51,39,5,96,62,51,0,0,5,3,0,2
48,20,60,96,99,8,33,21,18,5,5,4,5,4,1
11,11,99,3,68,93,10,54,44,5,2,1,5,5,2
59,32,6,64,96,93,72,80,6,3,3,2,2,4,1
66,17,74,64,45,60,45,64,13,0,3,1,5,2,2
13,36,11,86,51,57,88,84,44,4,4,0,1,3,1
77,3,36,74,70,3,6,98,7,1,5,4,3,4,1
64,2,32,87,66,55,3,12,90,2,1,4,4,4,2
28,22,78,5,78,79,56,10,62,4,1,0,2,1,1
79,0,31,13,21,0,76,24,43,0,0,5,2,4,2
72,19,48,24,52,9,42,4,35,1,2,1,1,1,2
98,11,5,24,58,51,57,65,10,3,2,1,4,2,2
77,18,15,66,28,87,17,55,69,3,0,5,2,1,1
3,20,68,3,27,29,43,73,60,3,1,5,5,0,2
45,31,86,39,50,32,42,85,25,0,1,1,2,2,1
34,23,22,77,10,42,14,33,67,2,0,3,5,0,2
22,22,6,86,18,80,83,73,70,0,5,0,1,4,1
40,36,69,59,71,38,41,1,51,2,4,2,5,0,2
82,34,25,24,55,18,16,32,55,1,4,5,0,2,1
83,10,32,52,85,55,45,31,11,5,0,5,2,5,2
7,6,39,10,76,70,85,45,23,4,3,0,3,3,1
12,38,4,81,79,52,78,4,65,3,2,2,0,1,2
38,17,84,37,63,4,75,56,85,0,3,5,3,1,2
96,0,19,64,89,21,72,96,66,1,4,3,5,1,2
46,25,67,12,90,71,25,15,91,3,1,5,2,4,2
76,29,13,38,85,57,5,1,13,0,4,0,5,4,2
73,14,27,65,63,70,61,99,84,5,2,5,5,5,1
21,17,76,12,50,13,97,56,1,4,3,4,1,3,1
35,21,15,19,41,54,64,45,87,4,2,0,4,2,2
33,17,67,8,66,56,64,55,43,1,4,4,2,1,2
82,4,17,93,5,24,95,90,79,5,0,2,3,5,2
92,22,2,66,31,81,75,76,58,5,3,2,4,1,2
47,3,37,94,32,86,14,99,68,5,1,4,4,5,1
34,3,93,3,20,70,66,92,25,5,5,5,5,1,1
11,34,95,57,15,49,83,54,27,5,3,0,4,0,1
47,34,84,14,72,91,11,45,92,0,2,1,2,2,2
28,5,25,13,49,18,83,60,15,0,1,0,0,1,2
29,6,15,10,45,4,34,16,8,5,1,0,3,4,1
95,23,76,5,62,0,90,81,73,1,5,5,4,4,2
33,22,35,43,63,95,2,42,9,3,5,0,2,4,2
10,9,34,62,88,1,98,32,80,1,5,1,4,0,1
11,31,47,72,9,6,43,8,4,5,2,2,4,5,2
5,28,2,80,67,60,62,3,80,0,2,0,0,2,1
20,29,21,16,50,41,71,72,41,5,5,1,0,5,2
63,9,53,47,72,17,41,13,17,2,1,4,4,1,1
67,11,91,88,56,14,31,35,10,4,3,3,2,0,1
37,40,68,69,93,39,21,63,29,3,2,2,1,2,2
26,6,87,57,32,15,43,11,60,0,1,3,5,5,2
3,4,0,60,19,89,38,28,4,1,2,0,5,1,2
95,36,5,58,1,1,34,39,9,4,5,2,2,3,2
8,2,81,99,9,17,37,74,18,2,4,1,4,5,1
7,24,48,97,89,40,94,28,88,0,1,0,3,0,2
9,25,50,30,18,76,49,98,87,5,0,2,5,1,1
22,31,64,44,10,54,34,91,80,2,5,1,1,3,2
11,22,74,5,50,53,28,50,80,5,0,1,0,3,1
59,12,23,64,20,62,52,66,73,4,3,4,1,3,2
83,2,29,16,32,8,78,47,5,5,0,2,5,5,1
99,25,90,21,99,6,45,42,90,0,2,4,1,0,2
96,33,91,5,56,18,66,60,95,2,5,3,1,1,2
70,17,93,74,13,64,88,52,82,3,3,1,5,2,1
58,36,9,46,80,39,77,45,67,2,4,5,5,2,1
9,7,10,15,36,93,39,0,64,5,2,3,3,2,2
51,10,88,34,8,18,75,11,97,5,5,5,4,0,2
67,10,45,12,98,33,31,2,59,1,3,0,3,0,2
